INT1	INT2	INT3	INT4	INT5	LONG1	LONG2	LONG3	LONG4	LONG5	FLOAT1	FLOAT2	FLOAT3	FLOAT4	FLOAT5	DOUBLE1	DOUBLE2	DOUBLE3	DOUBLE4	DOUBLE5	BOOL1	BOOL2	BOOL3	BOOL4	BOOL5
-1988102805	976147455	901577917	50868034	-96715261	-1238212420829184	6865567596150783	5794426840416255	-6492980747698176	5890578340380671	918867250.123031	615389227.7536263	1311870396.2892601	1163639737.3761125	552722097.9660722	3180932099524231.5	3701417787110327.5	1607382804395595.8	8797474158911491	2494220143168755.5	true	true	false	false	true
139560535	755522286	1657073962	2072756662	-1848536835	289146547470335	8724701488611327	3273436730228735	6794295692492799	-4023025464770560	866935394.4967659	1011971802.8146406	1887261999.6754982	208708239.99475068	1859001951.7397754	1254926232022127.8	6065420850750239	2661071272609647.5	1430980590899301.8	3951861466788357.5	true	false	false	false	false
1561647247	-1453601802	-413241192	1712372054	-1494911056	-7109513433841663	2542949724323839	-7465230250541055	2013517355941887	529307881439231	593565442.0007674	1837485287.7672467	921548002.6129636	2095302039.4330957	739904273.1382362	7082381083126637	4918478379535595	5141256439926397	2324107369974197.5	6413368610694417	false	false	true	true	true
1725064448	1614343167	-321092097	-1960033705	1443924884	-4136403726237696	-1216361619521536	5529314325954559	-8478028841615359	4276523192287231	607883213.0987072	1800294715.1654994	1798859576.160029	2015176430.853257	143689731.01148987	6683760165455711	903601622181859.9	8714133388780211	8932078012801749	6917238370690501	false	false	false	false	true
-594057004	-1081787095	2091629005	-1983707845	-188811508	-2217288161820672	-7052093059760127	-6023582907891712	-6768777265938431	-4902979157098496	499617397.88657874	168719714.1785267	593481070.489364	1812077665.1369648	189948032.1739282	701184912890897.9	5837813426845811	8819845719474359	8299847760738025	4372613361386547.5	true	false	false	false	false
-318152361	-1054382361	-534831262	809828792	-1184710621	-882574876475392	7183293564846079	-8734714768654335	7237010657902591	-8858793647538175	1137119484.6087356	397116642.88983667	1864791914.6349287	1485620982.390404	882227858.3308502	1902584054184743.8	840047488774847.9	3790679565673423.5	450147764922071.94	8453651846930013	true	false	true	true	false
214943674	1369420504	487204622	-1249071348	181640640	-4500797274456064	-4906333488807936	-2419157375123456	5213123703209983	-8342686390026239	664518206.0650837	1739990295.0207474	625115061.3727555	1146984942.2208502	580833792.3071072	173970026699577.97	5989698140771799	6308948504828425	2305859954662915.5	8679061167726951	false	true	false	false	false
-525508536	-1508562861	-1481004362	825638726	-505798171	-3321545963339776	2228285337501695	5547828923334655	-5240588597198848	4070224546496511	1711492368.667864	1792258559.085286	879920992.1236874	1647480759.213129	953051160.7193499	804209556182019.9	7733813074246977	6447194701250413	1685133830618531.8	5652467888616809	false	false	false	false	false
-185662801	-450142771	-1451644731	-1212925830	1424320112	-237762351464448	1810098796101631	4217254489096191	-4977840990715904	2831195096219647	1412612039.6344333	1373407900.26803	1615949877.07451	1758738507.081729	159044092.1349361	4525072042155819	4124148908025187.5	2726143092509027.5	7615655635926525	8751696539700285	false	true	false	true	true
878240544	-2057443363	-1775068899	1480272208	1817300292	3467616253378559	-4782565261049856	7773290433085439	-1643994182320128	-403796018593792	1961669409.8309522	1861799216.6064384	839727506.7374246	1565155020.8952549	2071005919.2831452	1249971964351251.8	6204571510516563	710312962653169.9	4627809928229635	6704571386180995	false	true	true	true	true
